branch,path,decision,detail
codex/f-acc-001-sds,pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/CommerceAuthorityWriteApi.java,CONFLICT_ADAPT_REQUIRED,"ule-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/CommerceAuthorityWriteApi.java...
error: pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/CommerceAuthorityWriteApi.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/dto/AuthorityWriteResult.java,CONFLICT_ADAPT_REQUIRED,"odule-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/dto/AuthorityWriteResult.java...
error: pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/dto/AuthorityWriteResult.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/dto/CommerceAuthorityWriteCommand.java,CONFLICT_ADAPT_REQUIRED,"/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/dto/CommerceAuthorityWriteCommand.java...
error: pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/authority/dto/CommerceAuthorityWriteCommand.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/DeliveryScopeAcceptanceLockApi.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/dto/DeliveryScopeAcceptanceLockCommand.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/dto/DeliveryScopeVersionFact.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/pms-module-commerce-api/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/dto/SplitScopeApplyCommand.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/pom.xml,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/DeliveryScopeAcceptanceLockApiImpl.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/DeliveryScopeApiImpl.java,CONFLICT_ADAPT_REQUIRED,"patch failed: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/DeliveryScopeApiImpl.java:13
Applying patch pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/api/scope/DeliveryScopeApiImpl.java with 2 rejects...
Rejected hunk #1.
Rejected hunk #2.
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/authority/CommerceAuthorityImportController.java,CONFLICT_ADAPT_REQUIRED,"rc/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/authority/CommerceAuthorityImportController.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/authority/CommerceAuthorityImportController.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/authority/vo/CommerceAuthorityImportBatchReqVO.java,CONFLICT_ADAPT_REQUIRED,"n/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/authority/vo/CommerceAuthorityImportBatchReqVO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/authority/vo/CommerceAuthorityImportBatchReqVO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/contract/ContractController.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/contract/vo/ContractDetailRespVO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/contract/vo/ContractRelationReqVO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/contract/vo/ContractRespVO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/order/OrderController.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/order/vo/SalesOrderLineRespVO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/order/vo/SalesOrderRespVO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/DeliveryScopeController.java,CONFLICT_ADAPT_REQUIRED," patch pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/DeliveryScopeController.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/DeliveryScopeController.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeAdjustReqVO.java,CONFLICT_ADAPT_REQUIRED,"ms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeAdjustReqVO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeAdjustReqVO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeAssignReqVO.java,CONFLICT_ADAPT_REQUIRED,"ms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeAssignReqVO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeAssignReqVO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopePreviewReqVO.java,CONFLICT_ADAPT_REQUIRED,"-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopePreviewReqVO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopePreviewReqVO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeReleaseReqVO.java,CONFLICT_ADAPT_REQUIRED,"-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeReleaseReqVO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeReleaseReqVO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/controller/admin/scope/vo/DeliveryScopeRespVO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/contract/ContractDO.java,CONFLICT_ADAPT_REQUIRED,"Checking patch pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/contract/ContractDO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/contract/ContractDO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/contract/ProjectContractRelationDO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/order/SalesOrderDO.java,CONFLICT_ADAPT_REQUIRED,"Checking patch pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/order/SalesOrderDO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/order/SalesOrderDO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/order/SalesOrderLineDO.java,CONFLICT_ADAPT_REQUIRED,"Checking patch pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/order/SalesOrderLineDO.java...
error: pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/order/SalesOrderLineDO.java: already exists in working directory
"
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/scope/DeliveryScopeDO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/dataobject/scope/DeliveryScopeDetailDO.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/common/query/AuthoritySourceLockQuery.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/contract/ContractMapper.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/contract/ProjectContractRelationMapper.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/contract/query/ContractCompanyScopeQuery.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/contract/query/ContractDetailScopeQuery.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/contract/query/ContractIdLockQuery.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/contract/query/ContractRelationListQuery.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/contract/query/ProjectContractIdentityLockQuery.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/order/SalesOrderLineMapper.java,NOOP_EXACT,same blob
codex/f-acc-001-sds,pms-module-commerce/src/main/java/cn/iocoder/yudao/module/pms/commerce/dal/mysql/order/SalesOrderMapper.java,NOOP_EXACT,same blob
